Level,ExpToNextLevel
1,3
2,6
3,18
4,36
5,60
6,90
7,126
8,168
9,216
10,270
11,330
12,396
13,468
14,546
15,630
16,720
17,816
18,918
19,1026
20,1140
21,1260
22,1386
23,1518
24,1656
25,1800
26,1950
27,2106
28,2268
29,2436
30,2610
31,2790
32,2976
33,3168
34,3366
35,3570
36,3780
37,3996
38,4218
39,4446
40,4680
41,4920
42,5166
43,5418
44,5676
45,5940
46,6210
47,6486
48,6768
49,7056
50,7350
51,7650
52,7956
53,8268
54,8586
55,8910
56,9240
57,9576
58,9918
59,10266
60,10620
61,10980
62,11346
63,11718
64,12096
65,12480
66,12870
67,13266
68,13668
69,14076
70,14490
71,14910
72,15336
73,15768
74,16206
75,16650
76,17100
77,17556
78,18018
79,18486
80,18960
81,19440
82,19926
83,20418
84,20916
85,21420
86,21930
87,22446
88,22968
89,23496
90,24030
91,24570
92,25116
93,25668
94,26226
95,26790
96,27360
97,27936
98,28518
99,29106
100,29700
